ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTABELECI,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS
420,-44671580,-23479782,355030813000142,3550308005124,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,"MARIO DE MORAES ALTENFELDER SILVA,DR,ESC-HOSP MAT","EMILIO CARLOS,DEP,AV,3100",V N CACHOEIRINHA,38594122,02720200,2079186.000000,1,Municipal,32,HOSPITAL ESPECIALIZADO,7,HOSPITAL,176
421,-46646921,-23559807,355030807000012,3550308005010,07,BELA VISTA,9,SE,Centro,Centro,MENINO JESUS-HOSP INFANTIL,"INGLESES,DOS,R,258",BELA VISTA,32535200,01329000,2078325.000000,1,Municipal,32,HOSPITAL ESPECIALIZADO,7,HOSPITAL,64
422,-46637252,-23564671,355030849000056,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,A C CAMARGO - HOSP DO CANCER,"ANTONIO PRUDENTE,PROF,R,211",LIBERDADE,32725000,01509900,2077531.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,193
423,-46492584,-23610550,355030876000172,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,AEPS DO SAPOPEMBA-HOSP GERAL,"MANUEL FRANCA DOS SANTOS.AV,174",SAO MATEUS,61118669,03975130,2091585.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,199
424,-46714676,-23599130,355030854000067,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,ALBERT EINSTEIN - HOSP,"ALBERT EISTEIN,AV,627/701",MORUMBI,37471233,05652900,2058391.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,38
425,-46500964,-23542114,355030891000094,3550308005147,93,VILA MATILDE,21,PENHA,Leste,Leste 1,"ALEXANDRE ZAIO,DR-HOSP","ALVES MALDONADO,R,128",V  NHOCUNE,67492855,03558050,2080788.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,42
426,-46472507,-23499140,355030828000052,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,"ALIPIO CORREA NETO,DR-HOSP","RODRIGO DE BRUN,AL,1989",ERM MATARAZZO,69439944,03807230,2082829.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,280
427,-46672076,-23481183,355030813000142,3550308005124,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,"ALVARO DE SOUZA,DR(CACHOIRINHA)-HOSP","EMILIO CARLOS,DEP,AV,3000",CJ HAB V N CACHOEIRINHA,38595226,02720200,2688573.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,183
428,-46608731,-23596162,355030834000034,3550308005043,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,ANTONIO DE ALVARENGA-HOSP/ MAT,"NAZARE,AV,1361",IPIRANGA,2741755,04263200,2077469.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,28
429,-46645012,-23652993,355030838000337,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,"ARTHUR RIBEIRO DE SABOYA,DR-HOSP JABAQUARA","FRANCISCO DE PAULA Q RIBEIRO,AV,860",JABAQUARA,50115111,04330020,2081970.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,210
430,-46634413,-23557328,355030849000109,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,BANDEIRANTES - HOSP,"GALVAO BUENO,R,257",LIBERDADE,33452000,01506000,2077507.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,62
431,-46513957,-23587148,355030876000154,3550308005156,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,"BENEDICTO MONTE NEGRO,DR-HOSP","ANTONIO LAZARO,R,226",JD. IVA,67218684,03921080,2084139.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,50
432,-46641253,-23566943,355030807000074,3550308005010,07,BELA VISTA,9,SE,Centro,Centro,BENEFICENCIA PORTUGUESA-HOSP,"MAESTRO CARDIM,R,769",BELA VISTA,32535022,01323001,2080575.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,578
433,-46584790,-23551205,355030808000049,3550308005016,08,BELEM,25,MOOCA,Leste,Leste 1,CANDIDO FONTOURA-HOSP INFANTIL/ PS ESPEC,"SIQUEIRA BUENO,R,1757",BELENZINHO,66052026,03173010,2088517.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,104
434,-46565873,-23532816,355030880000026,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,"CARMINO CARICCHIO,DR-HOSP TATUAPE","CELSO GARCIA,AV,4815",TATUAPE,61917000,03063000,2080346.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,374
435,-46742226,-23705018,355030846000242,3550308005221,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CASA DE SAUDE N SRA CAMINHO-HOSP,"ESTRADA DA RIVIERA,4742",RIVIERA PAULISTA,55176100,04916000,2089637.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,96
436,-46639159,-23555731,355030807000094,3550308005010,07,BELA VISTA,9,SE,Centro,Centro,CENTRO DE REFERENCIA DA SAUDE DA MULHER- HOSP PEROLA B.,"LUIS ANTONIO,BRIG,AV,683",JARDIM PAULISTA,31055041,,2078287.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,151
437,-46669891,-23556094,355030845000125,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,CLINICAS DAS(FAC DE MED USP) - HOSP,"ENEAS DE CARVALHO AGUIAR,255",CERQUEIRA CESAR,2661000,05403900,2078015.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,1506
438,-46667722,-23556454,355030845000171,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,"CORACAO,INSTITUTO,DO- HOSP INCOR","ENEAS CARVALHO DE AGUIAR,DR,AV,44",CERQ CESAR,30695219,05403000,2071568.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,452
439,-46650807,-23569926,355030890000211,3550308005022,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,EURYCLIDES DE JESUS ZERBINI - HOSP DE TRANSPLANTE,"LUIS ANTONIO,BRIG,AV,2651",JARDIM PAULISTA,32849111,,2088576.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,168
440,-46748602,-23648271,355030846000253,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,FERNANDO MAURO P DA ROCHA-HOSP CAMPO LIMPO,"TEREZA M. OLIVEIRA, R,17/ ITAPECERICA, ESTR,1661",V  MARACANA,55195800,05835005,2786680.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,289
441,-46690386,-23728599,355030830000298,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,GERAL DE GRAJAU - HOSP,"FRANCISCO OCTAVIO PACCA,R,180",PQ DAS NACOES,56619444,04822300,2077671.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,240
442,-46405324,-23551375,355030831000134,3550308005264,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,GERAL DE GUAIANAZES-HOSP JESUS T COSTA,"OTELO AUGUSTO REIBEIRO, R,899",JD S+O PAULO,8641110,,2079240.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,263
443,-46676394,-23680112,355030816000106,3550308005170,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,GERAL DE PEDREIRA-HOSP,"JOAO FRANCISCO DE MOURA,R,251",V CAMPO GRANDE,56135900,04455170,2066092.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,213
444,-46486654,-23593967,355030873000062,3550308005154,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,GERAL DE S MATHEUS DR MANOEL BIFULCO-HOSP,"ANGELO DE CANDIA,R,540",SAO MATEUS,61145148,03958000,2077493.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,265
445,-46717305,-23443414,355030842000258,3550308005188,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,GERAL DE TAIPAS-HOSP KATIA DE SOUZA RODRIGUES,"ELISIO TEIXEIRA LEITE,AV,7000",PARADA TAIPAS,39730400,,2082225.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,225
446,-46388373,-23491742,355030836000109,3550308005250,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,GERAL ITAIM PAULISTA-HOSP,"MARECHAL TITO,AV,6035",ITAIM PAULISTA,69636300,08115100,2077620.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,307
447,-46589869,-23571287,355030853000067,3550308005018,54,MOOCA,25,MOOCA,Leste,Leste 1,"IGNACIO PROENCA DE GOUVEA,DR-HOSP","JUVENTUS,R,562",MOOCA,61699923,03124020,2084473.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,90
448,-46701543,-23706414,355030823000136,3550308005219,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,INTERLAGOS-HOSP/ MATERN,"LEONOR ALVIM,R,211",CID DUTRA,56660222,04802190,2065665.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,141
449,-46611091,-23583827,355030834000022,3550308005043,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,IPIRANGA-HOSP,"NAZARE,AV,28",IPIRANGA,2157799,04262000,2077523.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,235
450,-46727089,-23484117,355030863000002,3550308005113,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,"JOSE SOARES HUNGRIA,DR-HOSP PIRITUBA","MENOTTI LAUDIZIO,AV,100",PIRITUBA,39747000,02945000,2077450.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,103
451,-46588152,-23535582,355030808000008,3550308005016,08,BELEM,25,MOOCA,Leste,Leste 1,LEONOR MENDES DE BARROS-MATER/ AMB HOSP,"CELSO GARCIA,AV,2477",BRAS,66944987,,2077701.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,131
452,-46630600,-23483763,355030870000111,3550308005065,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,MANDAQUI-HOSP,"VOLUNTARIOS DA PATRIA,R,4301",SANTANA,69593611,02401000,2077574.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,462
453,-46764642,-23577587,355030867000061,3550308005182,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,"MARIO DEGNI,PROF(JD SARAH)-HOSP E MATER","LUCAS DE LEYDE,AV,257",V  ANTONIO,37684900,05376010,2075717.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,81
454,-46596580,-23593848,355030834000157,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,MONUMENTO-HOSP,"LIMA E SILVA,R,985",IPIRANGA,2732277,04215020,2077752.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,50
455,-46620656,-23531306,355030856000016,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,N SRA DO PARI-HOSP E MATERN,"HAHNEMANN,R,234",PARI,32286533,03031040,2091399.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,66
456,-46705417,-23655096,355030871000030,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,REGIONAL SUL-HOSP/ AMB HOSP,"ROBERTO ALVES DE CARVALHO F,GAL,AV,270",STO  AMARO,55226033,04744000,2091313.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,252
457,-46643223,-23597158,355030890000123,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,S PAULO-HOSP UNIFESP,"NAPOLEAO DE BARROS,R,715",V CLEMENTINO,55721922,04024002,2077485.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,753
458,-46661309,-23538846,355030826000093,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,SAMARITANO-HOSP,"BROTERO,CONS,1486",HIGIENOPOLIS,,,2080818.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,13
459,-46460882,-23553566,355030857000013,3550308005204,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,SANTA MARCELINA-HOSP,"SANTA MARCELINA,R,177",V CARMOSINA,61706000,08270070,2077477.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,612
460,-46626863,-23487140,355030870000111,3550308005065,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,SAO CAMILO SANTANA - HOSP E MATERN,"VOLUNTARIOS DA PATRIA,R,3693",SANTANA,69728000,,3039420.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,0
461,-46653654,-23596622,355030832000003,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,SERVIDOR PUBLICO ESTADUAL-HOSP,"PEDRO DE TOLEDO,R,1800",V CLEMENTINO,50888000,04029000,2058502.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,64
462,-46638630,-23566982,355030849000107,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,SERVIDOR PUBLICO MUNICIPAL - HOSP,"CASTRO ALVES,R,60",ACLIMACAO,32082211,01532900,2752077.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,83
463,-46704747,-23649638,355030871000013,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,STA CASA DE SANTO AMARO-HOSP,"ISABEL SCHMIDT,59",STO  AMARO,,04743030,2075962.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,132
464,-46648704,-23541966,355030826000077,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,STA CASA DE SAO PAULO-HOSP CENTRAL,"CESARIO MOTA JR,DR,R,112",CONSOLACAO,32267000,01221020,2688689.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,1190
465,-46632362,-23596644,355030890000117,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,STA CRUZ-HOSP,"SANTA CRUZ,R,398",V MARIANA,50802000,,2082624.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,4
466,-46439508,-23496638,355030874000089,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TIDE SETUBAL-HOSP,"JOSE GUILHERME EIRAS,DR,R,123",S M PAULISTA,69568045,08010220,2080583.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,172
467,-46740303,-23564487,355030812000020,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,UNIVERSITARIO (MEC MPAS) - HOSP,"LINEU PRESTES,PROF,AV,2565",BUTANTA,38127711,05508900,2076926.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,246
468,-46561359,-23592989,355030893000019,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V ALPINA-HOSPITAL (SECONCI),"FRANCISCO FALCONI,R,1501",V ALPINA,63182100,03227000,2077426.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,202
469,-46694858,-23484736,355030829000031,3550308005118,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,V PENTEADO DR JOSE PANGELLA-HOSP,"PETRONIO PORTELA,MIN,AV,1642",ITABERABA,39769911,02959000,2091755.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,208
470,-46716309,-23567978,355030812000025,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,VITAL BRASIL-HOSP,"VITAL BRASIL,AV,1500",BUTANTA,37267222,05503900,2091356,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,11
471,-46444300,-23530669,355030837000041,3550308005201,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,"WALDOMIRO DE PAULA,PROF-HOSP","AUGUSTO CARLOS BAUMANN,R,1074",ITAQUERA,69446355,08210590,2077639.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,185
472,-46668483,-23554927,355030845000171,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,ADOLFO LUTZ - INSTITUTO,"ARNALDO,  AV,DR, 355",CONSOLACAO,30857022,01246902,2091364,2,Estadual,34,INSTITUTO,1,AMBULATORIOS ESPECIALIZADOS,0
473,-46647963,-23547616,355030826000137,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,CLEMENTE FERREIRA DIV TISIOLOGIA-INSTITUTO,"CONSOLACAO,DA,R, 717",CONSOLACAO,2587644,01301000,2057220,2,Estadual,34,INSTITUTO,1,AMBULATORIOS ESPECIALIZADOS,0
474,-46445253,-23490746,355030874000112,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,INSTITUTO PAULISTA GERI E GERONT JOSE MORAES - IPGG,"ALEIXO MONTEIRO MAFRA,PE,PCA,34",S M PAULISTA,50879911,08011010,2092344,2,Estadual,34,INSTITUTO,1,AMBULATORIOS ESPECIALIZADOS,0
475,-46647454,-23568781,355030890000205,3550308005022,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,PASTEUR - INSTITUTO,"PAULISTA,AV,393",CERQUEIRA CESAR,32880088,01311000,2032759,2,Estadual,34,INSTITUTO,1,AMBULATORIOS ESPECIALIZADOS,0
476,-46722018,-23537038,355030802000062,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,LAPA-LABORATORIO MUNICIPAL,"QUEIROZ FILHO, AV,313",PQ. DA LAPA,30212171,05319000,2752085.000000,1,Municipal,35,LABORATORIO,2,APOIO DIAGNOSTICO,0
477,-46694171,-23489709,355030829000013,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,N SRA DO O-LABORATORIO MUNICIPAL,"ITABERABA,AV,1377",FREGUESIA DO  O,39750698,02734000,2027089.000000,1,Municipal,35,LABORATORIO,2,APOIO DIAGNOSTICO,0
478,-46608058,-23587761,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,REGIAO SUDESTE -LABORATORIO MUNICIPAL,"MARCHETTI , PE,R, 557",IPIRANGA,61618379,04606000,2027097.000000,1,Municipal,35,LABORATORIO,2,APOIO DIAGNOSTICO,0
479,-46446384,-23509494,355030887000107,3550308005193,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,S MIGUEL PAULISTA-LABORATORIO  II,"MARIA SANTANA, AV. 101",JD STA MARIA,61537257,,2091771,2,Estadual,35,LABORATORIO,2,APOIO DIAGNOSTICO,0
480,-46715338,-23650088,355030871000065,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO- LABORATORIO,"PAULA CRUZ,R,71",JD. DOM BOSCO,55487967,04757120,2091674,1,Municipal,35,LABORATORIO,2,APOIO DIAGNOSTICO,0
481,-46630870,-23484349,355030870000111,3550308005065,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,ZONA NORTE - CENTRO DE ANALISES CLINICAS,"VOLUNTARIOS DA PATRIA,4301",SANTANA,,02401000,3996344.000000,2,Estadual,35,LABORATORIO,2,APOIO DIAGNOSTICO,0
482,-46696838,-23659600,355030816000098,3550308005171,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,ZONA SUL - CENTRO DE ANALISES CLINICAS,"NOSSA SENHORA DO SABARA,AV,234",CAMPO GRANDE,,04686000,6351662.000000,2,Estadual,35,LABORATORIO,2,APOIO DIAGNOSTICO,0
483,-46627105,-23511912,355030870000060,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,ZOONOSES E DOENCAS TRANSMISSIVEIS POR VETORES - LAB,"EUL-LIA, STA,R 86",SANTANA,,02031020,6511848.000000,1,Municipal,35,LABORATORIO DE ZOONOSES,4,VIGILANCIA EM SAUDE,0
484,-46482734,-23598174,355030873000006,3550308005207,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,SAO MATEUS -CR PRATICAS MEDICINAIS NATURAIS,"AURELIANO DA SILVA ARRUDA,DR,R,403",CID. SAO MATEUS,61125175,03960050,3826872,1,Municipal,36,MEDICINAS NATURAIS,1,AMBULATORIOS ESPECIALIZADOS,0
485,-46627859,-23550525,355030878000003,3550308005001,80,SE,9,SE,Centro,Centro,CENTRO - UNIDADE DE MEDICINAS TRADICIONAIS,"FREDERICO ALVARENGA,R,259, 3 AND",PQ. D. PEDRO,,01020030,3475182,1,Municipal,37,MEDICINAS TRADICIONAIS,1,AMBULATORIOS ESPECIALIZADOS,0
486,-46472928,-23493325,355030828000079,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ACDEM - NIR,"MIGUEL RACHID,596",V PARANAGU-,25411548,03808130,3420647.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
487,-46612505,-23482098,355030882000068,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,"ARMANDO DE AGUIAR PUPO,DR - APD CER","NOVA CANTAREIRA,AV,1476",TUCURUVI,29526700,02331002,2751984.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
488,-46610494,-23503837,355030886000033,3550308005031,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CARANDIRU- NIR,"JOSE PEREIRA JORGE,R,305",CARANDIRU,62224144,02067020,2068079.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
489,-46398526,-23600739,355030825000286,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CIDADE TIRADENTES - NIR,"FERNANDO GANGA,R,14",CIDADE TIRADENTES,25161729,08471000,5468094.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
491,-46693556,-23505513,355030829000122,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,FREGUESIA DO O BRASILANDIA - NIR,"MARINA, STA,AV,2147",FREGUESIA,39316744,02732040,6930980.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
492,-46580114,-23474310,355030839000062,3550308005070,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,JACANA-NIR,"SAO GERALDINO,R,222",V CONSTANCA,62440065,02258220,2787962.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
493,-46704621,-23722254,355030823000019,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD CLIPPER-NIR,"CARLOS PEZZOLO,DR,S/N",PQ ESMERALDA,59285703,04828070,2751887.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
494,-46700579,-23492812,355030829000008,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,JD GUANABARA- NIR,"PETRONIO PORTELA,MIN,AV,663",FREGUESIA DO O,39752134,02959000,2787407.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
495,-46731959,-23586132,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JD PERI PERI-NIR,"JOAO GUERRA,R,247",JD. PERI PERI,37420552,05535100,2027240.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
496,-46398068,-23553491,355030831000067,3550308005266,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,JD SOARES- NIR,"FELICIANO DE MENDONCA,R,496",JD. SOARES,25577022,08460365,4050045.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
497,-46434612,-23553169,355030847000033,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO IV- NIR,"ANDREAS AMON,R,150",COHAB JOSE BONIFACIO,65232158,08255130,2751895.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
498,-46481445,-23497115,355030828000001,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,LAR VICENTINO - NIR,"OVIDIO LOPES,253",PQ BOTURUSSU,25465682,03804110,9901411.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
499,-46684432,-23472919,355030811000037,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,"MARIA CECILIA F DONNANGELO,PROFA-NIR","RUI DE MORAIS APOCALIPSE,R,2",BRASILANDIA,39217759,02842260,2788071.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
500,-46717470,-23770029,355030855000015,3550308005299,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,PARELHEIROS - NIR,"TEOTONIO VILELA,SEN,AV,8895",PARELHEIROS,,04858001,6642470.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
501,-46737938,-23403315,355030861000051,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,PERUS-NIRAE,"JULIO DE OLIVEIRA,R,80",V FLAMENGO,39171263,05201070,3094340.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
502,-46716684,-23524112,355030848000054,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,PQ  LAPA DR. FERNANDO RAMIRES CRUZ - NIR,"GAVIAO PEIXOTO,BRIG,727",LAPA,38628017,05078000,2751941.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
503,-46491452,-23537205,355030805000062,3550308005149,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,PQ ARTUR ALVIM - NIR,"HENRIQUE JACOBS,R,269",ARTHUR ALVIM,27494235,03566010,2752328.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
504,-46492813,-23611267,355030876000172,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA - NIR,"JOAO LOPES DE LIMA,R,1151",JD. SAPOPEMBA,29623480,03976020,2751968.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
505,-46440472,-23496403,355030874000093,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES DA SILVA -NIR,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",V AMERICANA,29569099,08010130,2751976.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0
